EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,ODO OJA - ODO OJA AREA,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,FRONT OLUWARO COMPOUND - OLUWARO COMPOUND,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,ANGLICAN PRIMARY SCHOOL - AWO VI,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,FAKEYE HALL - FAKEYE AREA,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,TOWN HALL - TOWN HALL AREA,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,OMOSIO COMPOUND - OMOSIO'S AREA,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,AWO,03,CENTER AJEBAMIDELE 'S FARM SETTLEMENT - AJEBAMIDELE SETTLEMENT,012,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,OSODABI COMPOUND - OSODABI AREA I,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,NEAR OSODABI - OSODABI AREA II,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,ODOFIN COMPOUND - ODOFIN AREA,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,OYESANYA COMPOUND - OYESANYA COMPOUND,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,IWAKUN COMPOUND IWAKUN AREA,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,OLOKETUYI COMPOUND - OLOKETUYI AREA,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,IWALEWA COMPOUND - IWALEWA AREA,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,OLOJE COMPOUND - OLOJE AREA,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,ST PETER'S PRIMARY SCHOOL - OJIGBEMO SQUARE,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,FRONT AAFIN - AAFIN COMPOUND,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,OJIGBEMO SQUARE - OJIGBEMO SQUARE,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,ODOLA COMPOUND - ODOLA COMPOUND,012,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,ST WILLAM'S PRIMARY SCHOOL - ODO AAFIN AREA,013,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,NEAR OLUWADUMIYE HOUSE - OLUWADUNMIYE AREA,014,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,A. U. D. PRIMARY SCHOOL - POST OFFICE AREA,015,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,NEAR ODO ODI - ODO ODI AREA,016,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,OLD DISPENSARY - OLD DISPENSARY,017,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,FRONT HEALTH CENTER - HEALTH CENTER,018,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,BALOGUN COMPOUND - BALOGUN COMPOUND,019,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,AT ORUN - OLOJA / BISHOP COMPOUND,020,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGBEMO,04,AJAGBEMOKEFERI HOUSE - EGBEDI COMPOUND,021,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,ADARAMOLA COMPOUND - ADARAMOLA COMPOUND,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,ROUND ABOUT - UNRIN ROUND ABOUT,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,ANGLICAN PRIMARY SCHOOL - NEPA AREA,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,ASAO COMPOUND - ASAO AREA,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,ODOFIN HOUSE - ODOFIN HOUSE,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,SAADE COMPOUND - SAADE COMPOUND,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,FRONT OF UJUMU - UJUMU'S COMPOUND,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,C. A. C. PRIMARY SCHOOL - IDOGUN / UTO AREA,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,FRONT OMODARA - OMODARA COMPOUND,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,SOLO COMPOUND - SOLO COMPOUND,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,FRONT OLURI - OLURI 'S COMPOUND,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,OISAYA HOUSE - OLURI COMPOUND II,012,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,ABE COMPOUND - ABE COMPOUND,013,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,COMMUNITY SCHOOL 'B' - OISINKIN COMPOUND,014,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE I,05,OBANLA COMPOUND - OBANLA COMPOUND,015,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,COURT HALL - AAFIN COMPOUND,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,ADARA COMPOUND - ADARA COMPOUND,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,ILE ABIYE MATERNITY - OKE ODO,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,OLULOGBO COMPOUND I - OLULOGBO COMPOUND,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,OLULOGBO COMPOUND II - OLULOGBO COMPOUND,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,EDEMORUN COMPOUND - EDEMORUN COMPOUND,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,COMMUNITY HALL - COMMUNITY HALL AREA,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,COMMUNITY 'A' - ARO COMPOUND,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,ARO HOUSE - ARO COMPOUND,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,IGEDORA - IGEDORA AREA,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,N' LAMECO - OLORO COMPOUND,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,OLORO COMPOUND - OLORO COMPOUND,012,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,IREMO COMPOND - IREMO COMPOUND,013,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,ODOLORO COMPOUND - ODOLORO COMPOUND,014,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE II,06,FRONT OF POST OFFICE - POST OFFICE AREA,015,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,BAPTIST PRIMARY SCHOOL - ELEMOKANSE / ISOLO / ASALU I,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,BAPTIST PRIMARY SCHOOL - ELEMOKANSE / ISOLO / ASALU II,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,AJIBADE COMPOUND - AJIBADE COMPOUND,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,ISOLO COMPOUND - ISOLO COMPOUND,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,ANISULAJA COMPOUND - ANISULAJA COMPOUND,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,ELEMOBA COMPOUND - OISEMO / AWOLOKUN / ELEMOBA,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,EHINOLA COMPOUND - EHINOLA COMPOUND,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,DADA DAPO COMPOUND - DADA DAPO AREA,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,OLORO COMPOUND - OLORO,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,EREDE SQUARE - EREDE SQUARE,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IGEDE III,07,EJIGBO COMPOUND - EJIGBO COMPOUND,011,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,EDEMO COMPOUND - EDEMO COMPOUND,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,OSOTUN COMPOUND - EDEMO COMPOUND,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,TOWN HALL - TOWN HALL AREA,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,OOYE COMPOUND - TOWN HALL AREA,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,AAFIN COMPOUND - AAFIN COMPOUND,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,AROWA COMPOUND - AAFIN COMPOUND,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,POST OFFICE - POST OFFICE,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,SULE OLA COMPOUND - SULE OLA AREA,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,ESURE BAPTIST PRIMARY SCHOOL - ESURE I,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,POSTAL AGENCY - ESURE II,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,ARAROMI FARM SETTLEMENT - ARAROMI FARM I,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,ARAROMI FARM SETTLEMENT - ARAROMI FARM II,012,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,ST PAUL'S PRIMARY SCHOOL - EYIO I,013,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,MATERNITY - EYIO II,014,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,NEAR MATERNITY - EYIO III,015,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IROPORA /ESURE,08,AAFIN COMPOUND - EYIO IV,016,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,COMMUNITY HIGH SCHOOL - IGBIRA FARM SETTLEMENT,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,AT ABA IGBIRA - IGBIRA FARM SETTLEMENT I,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,AT ABA IGBIRA - IGBIRA FARM SETTLEMENT II,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OKE ABO I - OKE ABO AREA,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OKE ABO II - OKE ABO AREA,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,ILAYIN - ILAYIN AREA,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,IDOGUN I - IDOGUN AREA,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,IDOGUN II - IDOGUN AREA,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,IDOGUN III - IDOGUN AREA,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OKE EDE - OKE EDE AREA,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,IN FRONT OF PA AJAYIS HOUSE,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OPEN SPACE AT 2 IN 1 JUNCTION,012,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OPEN SPACE AT UNITY AREA,013,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OPEN SPACE AT OSEKITA JUNCTION,014,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OPEN SPACE AT AKINYEDE ESTATE,015,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OPEN SPACE AT ODO-ODO AREA,016,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,"OPEN SPACE AT MATERNITY, IJAFIN",017,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,"MUSLIM NURSERY AND PRIMARYSCHOOL, IJAFIN",018,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,FRONT OF GABRIEL EGUNLUSISHOUSE,019,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,FRONT OF COKER OLOGUNTOYESHOUSE,020,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,OPEN SPACE AT ISABA,021,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IWOROKO,09,IFELODUN NURSERY & PRIMARYSCHOOL,022,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,PETU'S COMPOUND - PETU COMPOUND,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,BALOGUN COMPOUND - ELERA AREA,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,NEAR BALOGUN COMPOUND ELERA COMPOUND,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ONIKANSOMI COMPOUND - ONIKANSOMI COMPOUND,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,NEAR ONIKANSOMI COMPOUND - ONIKASOMI COMPOUND,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,SARO COMPOUND - SARO COMPOUND,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ODOLE COMPOUND - ODOLE COMPOUND,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,NEAR ODOLE COMPOUND - ODOLE COMPOUND,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,AFENI COMPOUND - AFENI COMPOUND,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ELIJAH AKINTUNDE - E. AKINTUNDE ' S COMPOUND,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ALL SAINT'S PRIMARY SCHOOL - FASOSE COMPOUND,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ST MICHEAL PRIMARY SCHOOL - OLUBOBOKUN COMPOUND,012,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ELEDIPO COMPOUND - ELEDEPO COMPOUND,013,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,AGBAKIN'S COMPOUND AGBAKIN'S COMPOUND,014,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,AJENGELE COMPOUND - AJENGELE COMPOUND,015,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,OLOYEDE COMPOUND - OLOYEDE COMPOUND,016,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ODOGUN COMPOUND - ODOGUN COMPOUND,017,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ASAO COMPOUND ASAO COMPOUND,018,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,C. A. C. PRIMARY SCHOOL - OLORO / OJOKO,019,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,AYELABOLA COMPOUND - AYELABOLA COMPOUND,020,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,PETER AYELABOLA - EJISUN COMPOUND,021,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,OLORO COMPOUND - OLORO COMPOUND,022,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,IYIN I,10,ALL SAINT'S PRIMARY SCHOOL - ELEMO / OLA OYE COMPOUND,023,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,BADA COMPOUND - BADA COMPOUND,001,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,OLORUNSOLA COMPOUND - OLORUNSOLA COMPOUND,002,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,EYELORI COMPOUND - EYELORI COMPOUND,003,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,BUS STOP - EKIRNA COMPOUND,004,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,ARIYO COMPOUND - ADUOLANIPEKUN / ARIYO,005,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,A. U. D. PRIMARY SCHOOL - OLOFINLADE / ANIFOWOSE,006,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,A. U. D. PRIMARY SCHOOL - OLOFINLADE / ARIYO,007,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,ALAYANRIN COMPOUND - ALAYANRIN COMPOUND,008,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,OLUYIN COMPOUND - OLUYIN COMPOUND,009,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,ASALE COMPOUND - ASALE COMPOUND,010,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,BAPTIST PRIMARY SCHOOL - ONILEOWO COMPOUND,011,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,COURT HALL - AROWA COMPOUND,012,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,NEAR COURT HALL - AROWA COMPOUND,013,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,OBALE COMPOUND - OBALE COMPOUND,014,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,OKEAGBE FARM - OKEAGBE FARM SETTLEMENT I,015,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,OKEAGBE FARM - OKEAGBE FARM SETTLEMENT II,016,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,COMMUNITY PRIMARY SCHOOL - ARAAROMI FARM,017,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,ATORO - ATORO FARM SETTLEMENT,018,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,ODO ANU FARM - ODO ANU FARM SETTLEMENT,019,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,IJIKO FARM SETTLEMENT - IJIKO FARM SETTLEMENT,020,,,,,,,,,,,,,,,
IREPODUN/IFELODUN,OYIN II,11,ELEMI FARM SETTLEMENT - ELEMI FARM SETTLEEMENT,021,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
,LG SUM,,,,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ODO ISE I,01,NEAR OLARIBIA'S HOUSE / OMIOMO,001,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,NEAR FAYOSE'S HOUSE / IDEMO,002,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,NEAR ONISOKOTO'S HOUSE / ARAROMI,003,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,NEAR AROGBODO'S HOUSE / ODOMOBA I AND II,004,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,OFIGBA COMMUNITY PRIMARY SCHOOL / OFIGBA I AND II,005,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,NEAR AJAGBURE'S HOUSE / OFIGBA I AND II,006,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,OPEN SPACE IN FRONT OF NITEL / AKINLUADUSE,007,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,NEAR OPEN SPACE IN FRONT OF NITEL / ABA / GBIRA,008,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,AGBE PRIMARY SCHOOL / OLUTE / SALAJA / AGBE CAMP,009,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,NEAR ALABI'S HOUSE / OFIGBA I AND II,010,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,EYELOJA'S HOUSE / OJUDE,011,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,OFIGBA COMMUNITY PRY. SCHOOL OFIGBA,012,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE I,01,OPEN SPACE IN FRONT OF FATOBAS HOUSE,013,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ODO ISE II,02,NEAR OLORI ODE AJAYI'S HOUSE / ULERU,001,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,NEAR OWOEYE'S HOUSE / OWOEYE LATIF / OLOGUN IYASUNA,002,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,ST. MARK'S PRIMARY SCHOOL / MISSION ROAD / OKESOKAN,003,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,NEAR ALHAJI AYOLO'S HOUSE / ODO ODI,004,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,NEAR IRASOGUN'S HOUSE / IRASOGUN,005,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,NEAR YEYE OSI'S HOUSE / IDI AGBAGBA IRO,006,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,NEAR SALAJA'S HOUSE / OJUDE,007,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,NEAR ONISA'S HOUSE/ OLISA,008,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,OWAGE'S HOUSE / OGE,009,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE II,02,ADEBUSUYI'S HOUSE / IEREKE,010,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ODO ISE III,03,NEAR OLUGEMO'S HOUSE/IRO,001,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,AUD PRIMARY SCHOOL 1 / SABO PRIMARY SCHOOL,002,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,SABO A U D PRIMARY SCHOOL 11 / A. U. D. PRIMARY SCHOOL,003,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,NEAR JIDE - JIDE HOTEL / ESE STREET / AJAYEI,004,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,NEAR ASAE'S HOUSE/OKE DIROKO / LOWER ASOLO,005,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,AJEGUNLE PRIMARY SCHOOL / AJEGUNLE I AND II I,006,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,AJEGUNLE PRIMARY SCHOOL / AJEGUNLE I AND II II,007,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,ST PHILIP'S PRIMARY SCHOOL / IWOYE / SURULERE / OKE ODI,008,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,C. A. C. PRIMARY SCHOOL / ITAFA / OSINKUN / ARIGIDI I AND II,009,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,NEAR BAALE'S HOUSE / AJEGUNLE II,010,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,NEAR MAKERT PLACE / AJEGUNLE III,011,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,EMMANUEL SCHOOL / IGBIRA - ESE,012,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,MOTOR CYCLE BUS STOP. OKE ODI JUNCTION,013,,,,,,,,,,,,,,,
ISE /ORUN,ODO ISE III,03,ST PHILIP PRY. SCHOOL SURULERE/OKE ODI,014,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ERINWA I,04,OPEN SPACE AT AAFIN / AAFIN,001,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,NEAR ASIMOWU'S HOUSE / IJESA I,002,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,ST THERASAA'S PRIMARY SCHOOL / IJESA II,003,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,LOCAL GOVERNMENT BUS STOP / UPPER ERINWA,004,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,ST STEPHENS SCHOOL / CENTRAL ERINWA,005,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,LOCAL GOVERNMENT LIBRARY / LOWER ERINWA,006,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,C AND S PRIMARY SCHOOL / ARAROMI 1,007,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,PRIMARY SCHOOL AT AFOLU I AND II / OSI / AFOLU / IDI OSAN,008,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,NEAR MOSQUE / AFOLU II,009,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,"NEAR / OLELE, NEAR LUCAS' HOUSE/OLELE",010,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA I,04,NEAR LUCAS HOUSE / OLELE,011,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ISE /ORUN,ERINWA II,05,OPEN SPACE AT HEALTH CENTRE / OGBESE,001,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA II,05,ST ANDREWS PRIMARY SCHOOL / OGBESE,002,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA II,05,OPEN SPACE AT MARKET STALL / OGBESE,003,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA II,05,PRIMARY SCHOOL AT OKO -OBA / OKO OBA,004,,,,,,,,,,,,,,,
ISE /ORUN,ERINWA II,05,OPEN SPACE AT MARKET STALL / OKO OBA,005,,,,,,,,,,,,,,,
