EKITI STATE GOVERNORSHIP ELECTION RESULTS 2026,,,,,,,,,,,,RESULT SUMMARY,,,,,,,
Results from Irev,,,,,,,,,,,,APC,PDP,ADC,LP,ACCORD,SDP,Total PU,PU Entered
Result by Polling Units,,,,,,,,,,,,00,00,00,00,00,00,2445,0
LGA,WARD,WARD CODE,POLLING UNITS,PU CODE,APC,PDP,ADC,LP,ACCORD,SDP,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT ALHAJI TUNDE RD./ IMOLEAYO NUR. & PRY. SCH. EKUTE AREA,028,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE AT ADISATU ADU/BACK OF BOLINGO HOTEL, OKE BOLA",029,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT THE BACK OF OLO MOTORS FALANA JUNCTION,030,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE AT LAFARGE CEMENT DEPORT, UREJE AREA",031,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT FOLORUNSO AREA/IRANLOWO OLUWA COMM.,032,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"MUSLIM COMMUNITY PILOT NUR, & PRY. SCH. AJILOSUN AREA",033,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,"OPEN SPACE AT ALHAJI BADMUS JUNCTION, OKE ONIYO",034,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT ALADESANMI AREA/ EKUTE POLICE STATION,035,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT OLANIPEKUN AREA/ST. PAUL C.A.C AJILOSUN,036,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT OLUJODA / OLU OWOLABI JUNCTION,037,,,,,,,,,,,,,,,
ADO EKITI,ADO 'D' IJIGBO,04,OPEN SPACE AT OPPOSITE NIKKY CHOICE FILLING STATION/OMOLAYO AREA,038,,,,,,,,,,,,,,,
,SUM,,,,0,0,0,0,0,0,,,,,,,,,
ADO EKITI,ADO 'E' IJOKA,05,AT ODO OTU AREA / ODO OTU,001,,,,,,,,,,,,,,,
